iter	Passed	Remaining
402	10982	13544
403	10995	13499
404	11011	13458
405	11026	13415
406	11040	13373
407	11057	13333
408	11074	13294
409	11089	13253
410	11106	13213
411	11122	13173
412	11138	13133
413	11154	13093
414	11170	13055
415	11187	13016
416	11203	12977
417	11219	12937
418	11234	12896
419	11250	12857
420	11265	12818
421	11281	12778
422	11297	12739
423	11313	12700
424	11329	12662
425	11353	12633
426	11370	12595
427	11386	12557
428	11404	12521
429	11421	12483
430	11437	12445
431	11454	12408
432	11469	12370
433	11485	12332
434	11500	12294
435	11516	12256
436	11531	12217
437	11546	12179
438	11562	12141
439	11578	12104
440	11593	12067
441	11608	12029
442	11625	11992
443	11641	11955
444	11656	11918
445	11672	11881
446	11687	11844
447	11702	11806
448	11716	11769
449	11731	11731
450	11746	11694
451	11763	11659
452	11779	11623
453	11795	11588
454	11810	11550
455	11826	11515
456	11840	11478
457	11855	11441
458	11871	11405
459	11887	11370
460	11902	11334
461	11918	11299
462	11933	11262
463	11948	11227
464	11963	11191
465	11978	11155
466	11994	11121
467	12011	11087
468	12028	11053
469	12043	11018
470	12058	10983
471	12074	10948
472	12089	10913
473	12104	10878
474	12120	10844
475	12135	10809
476	12153	10777
477	12168	10742
478	12184	10709
479	12200	10675
480	12217	10642
481	12232	10608
482	12248	10574
483	12263	10540
484	12280	10508
485	12297	10475
486	12313	10442
487	12330	10409
488	12346	10377
489	12364	10345
490	12380	10312
491	12396	10280
492	12413	10248
493	12431	10217
494	12448	10185
495	12465	10153
496	12481	10120
497	12495	10086
498	12513	10056
499	12530	10024
500	12546	9992
501	12562	9960
502	12579	9928
503	12596	9896
504	12611	9864
505	12628	9833
506	12644	9801
507	12661	9770
508	12678	9739
509	12694	9707
510	12710	9675
511	12725	9643
512	12740	9611
513	12757	9580
514	12773	9548
515	12788	9517
516	12803	9485
517	12819	9453
518	12834	9422
519	12848	9389
520	12863	9357
521	12877	9325
522	12892	9293
523	12909	9263
524	12925	9232
525	12941	9202
526	12957	9170
527	12973	9140
528	12989	9109
529	13006	9079
530	13023	9050
531	13040	9020
532	13056	8990
533	13071	8959
534	13087	8929
535	13103	8898
536	13119	8868
537	13134	8837
538	13150	8807
539	13170	8780
540	13187	8751
541	13205	8722
542	13224	8694
543	13243	8666
544	13262	8639
545	13283	8612
546	13303	8585
547	13322	8557
548	13340	8529
549	13361	8502
550	13381	8475
551	13401	8448
552	13420	8421
553	13437	8392
554	13454	8363
555	13470	8334
556	13488	8306
557	13508	8279
558	13524	8250
559	13540	8221
560	13555	8191
561	13572	8162
562	13587	8133
563	13604	8104
564	13619	8075
565	13634	8045
566	13649	8016
567	13664	7986
568	13680	7958
569	13696	7929
570	13711	7900
571	13728	7872
572	13744	7843
573	13760	7815
574	13775	7786
575	13791	7757
576	13806	7728
577	13823	7700
578	13839	7672
579	13855	7644
580	13871	7616
581	13887	7587
582	13902	7559
583	13918	7531
584	13933	7502
585	13947	7473
586	13963	7445
587	13979	7417
588	13993	7388
589	14009	7361
590	14024	7332
591	14040	7304
592	14056	7276
593	14071	7249
594	14088	7221
595	14103	7193
596	14117	7165
597	14131	7136
598	14149	7110
599	14164	7082
600	14179	7054
601	14196	7027
602	14212	6999
603	14228	6972
604	14244	6945
605	14261	6918
606	14277	6891
607	14293	6864
608	14309	6837
609	14327	6811
610	14343	6784
611	14359	6757
612	14373	6729
613	14391	6703
614	14406	6676
615	14424	6650
616	14441	6623
617	14457	6596
618	14472	6569
619	14488	6543
620	14504	6516
621	14520	6490
622	14550	6469
623	14564	6442
624	14579	6414
625	14594	6388
626	14612	6362
627	14627	6335
628	14643	6309
629	14659	6282
630	14676	6256
631	14696	6232
632	14712	6205
633	14730	6180
634	14748	6155
635	14768	6130
636	14785	6104
637	14803	6079
638	14820	6053
639	14837	6027
640	14856	6002
641	14875	5978
642	14892	5952
643	14909	5926
