iter	MultiClass
136	0.4257444198
137	0.425714444
138	0.4256321945
139	0.425481299
140	0.4253967055
141	0.4252527513
142	0.4251084733
143	0.4249773693
144	0.4248847288
145	0.4247746103
146	0.424697655
147	0.4246058644
148	0.4244911432
149	0.4244127479
150	0.4243355886
151	0.4242232712
152	0.4241500118
153	0.4240987961
154	0.4240783816
155	0.4239589798
156	0.4238453506
157	0.4237658094
158	0.4236859077
159	0.423562448
160	0.4234375862
161	0.4233593819
162	0.4232685994
163	0.4231536224
164	0.4231279979
165	0.4230911303
166	0.4230164047
167	0.4229655054
168	0.422911821
169	0.4227538588
170	0.4226860618
171	0.4225915035
172	0.422493401
173	0.4224392169
174	0.4223798018
175	0.4222945492
176	0.4222174267
177	0.4220451621
178	0.4219757797
179	0.4219352559
180	0.4218741445
181	0.4217969711
182	0.4217031509
183	0.4215261881
184	0.421415075
185	0.4213007619
186	0.4212191402
187	0.4211264908
188	0.421044446
189	0.4208987355
190	0.4208079041
191	0.4207196698
192	0.4206312582
193	0.420538195
194	0.4204417813
195	0.4203499271
196	0.4202509847
197	0.4201688397
198	0.4201153665
199	0.4200271083
200	0.4199438319
201	0.4198717487
202	0.4197785602
203	0.4196368987
204	0.4195440438
205	0.4194323632
206	0.4193083349
207	0.4192259206
208	0.4191156515
209	0.4189947222
210	0.4189074175
211	0.4188276636
212	0.4187703465
213	0.4186716018
214	0.4186014852
215	0.4185500832
216	0.4184557668
217	0.418411845
218	0.4183180489
219	0.4182937085
220	0.4182534641
221	0.4182111845
222	0.4181177067
223	0.4180779344
224	0.4179187628
225	0.4178009617
226	0.4177513398
227	0.4176707171
228	0.4175533322
229	0.4175179982
230	0.4174410814
231	0.4173322411
232	0.417271948
233	0.4172446604
234	0.4171347839
235	0.4170127704
236	0.4168514675
237	0.416807022
238	0.4167547657
239	0.4166769737
240	0.4166388604
241	0.4166139074
242	0.4164713262
243	0.4163683623
244	0.4162433445
245	0.4161202553
246	0.4160192729
247	0.4160070115
248	0.4159555278
249	0.415911421
250	0.415821189
251	0.4157448386
252	0.4156970626
253	0.4155875926
254	0.4155124122
255	0.415430368
256	0.41538782
257	0.4153211743
258	0.4152627069
259	0.4151630949
260	0.415041048
261	0.4148695202
262	0.4147929392
263	0.4146898111
264	0.4146513956
265	0.4146102833
266	0.4145607652
267	0.4144650107
268	0.4144074102
269	0.4142701053
270	0.4141471787
271	0.4140747224
272	0.4139740762
273	0.4139042334
274	0.4138745539
275	0.4138303076
276	0.4137487019
277	0.4137036933
278	0.4136069048
279	0.4135311332
280	0.4133922328
281	0.4133659623
282	0.4132962289
283	0.4132241411
284	0.4131116261
285	0.4130489503
286	0.4129722703
287	0.4128815751
288	0.412789353
289	0.4127372626
290	0.4126749749
291	0.4126089247
292	0.4125818402
293	0.4124616663
294	0.4124313086
295	0.4123330979
296	0.412242191
297	0.4121378596
298	0.4120834003
299	0.4120272875
300	0.411962198
301	0.411923126
302	0.4118699668
303	0.4117848419
304	0.4117248156
305	0.4116543057
306	0.411547562
307	0.4114679466
308	0.4113744514
309	0.4113176017
310	0.4112143847
311	0.4111878764
312	0.4111071572
313	0.4110831761
314	0.4110047242
315	0.410923566
316	0.4108973428
317	0.4108706039
318	0.4107557757
319	0.4107027525
320	0.4105908032
321	0.4104894348
322	0.4104452505
323	0.410331327
324	0.41025528
325	0.4102021735
326	0.410155238
327	0.4100994617
328	0.4100195597
329	0.4099256443
330	0.4098468894
331	0.4098294901
332	0.4097991801
333	0.4097544737
334	0.4096572781
335	0.409587571
336	0.4094829928
337	0.409451559
338	0.409341006
339	0.4092294781
340	0.4092022849
341	0.4091500292
342	0.4090383911
343	0.4089659148
344	0.4089498011
345	0.4088767624
346	0.4087984795
347	0.4087030886
348	0.4086215017
349	0.4085920805
350	0.4085053249
351	0.4084460287
352	0.4084145768
353	0.4083336441
354	0.4082946942
355	0.4082346815
356	0.4081966448
357	0.4081443677
358	0.4080365423
359	0.4079282556
360	0.4078692253
361	0.4077948436
362	0.4077346321
363	0.4076689377
364	0.407611146
365	0.4075545468
366	0.4074860337
367	0.4074279631
368	0.4073556373
369	0.407266055
370	0.4071645571
371	0.4070982431
372	0.4069794649
373	0.4069173938
374	0.4068762615
375	0.4067686464
376	0.4067224249
377	0.406638465
378	0.4065349876
379	0.4064868587
380	0.4064094912
381	0.4062881486
382	0.4062662474
383	0.4062259771
384	0.4061854226
385	0.4061387971
386	0.4060378316
387	0.4059940009
388	0.405933479
389	0.4058728543
390	0.4057825264
391	0.4057227949
392	0.4056678946
393	0.4056224435
394	0.40558034
395	0.4055219429
396	0.4054789652
397	0.4053938674
398	0.4053236535
399	0.4052338163
400	0.405167624
401	0.4051210265
402	0.4050423217
403	0.4050187063
404	0.4049886707
405	0.4049426019
406	0.4048806446
407	0.4048210359
408	0.4047206113
409	0.4046623625
410	0.4045547238
411	0.4044943711
412	0.4044280575
413	0.4043981638
414	0.4043361222
415	0.4042516308
416	0.4041550123
417	0.4040681859
418	0.4040034101
419	0.4039242384
420	0.4038311498
421	0.4037203522
422	0.4036486267
423	0.4035797826
424	0.4034865507
425	0.4033832987
426	0.4033155757
427	0.4032398397
428	0.4031865556
429	0.4031736546
430	0.4031372175
431	0.4030760857
432	0.4030362027
433	0.4029928018
434	0.402959985
435	0.4029126239
436	0.4028526413
437	0.4028345338
438	0.4027145492
439	0.4026236437
440	0.4025662193
441	0.4025159733
442	0.4024294162
443	0.4023698777
444	0.4023268654
445	0.4022562747
446	0.4022129439
447	0.4021522748
448	0.4020837484
449	0.4020661301
450	0.4020240576
451	0.4019385129
452	0.4018794793
453	0.401774111
454	0.4017286189
455	0.4016601339
456	0.4016353969
457	0.4015773735
458	0.4015390061
459	0.4014503596
460	0.4014031572
461	0.4012626794
462	0.4012174402
463	0.4010878009
464	0.4010125066
465	0.4009132055
466	0.4008515046
467	0.4007927708
468	0.4007297822
469	0.4006760051
470	0.4005840137
471	0.4005111823
472	0.4004803786
473	0.4004442574
474	0.4003815467
475	0.4002891936
476	0.4002430429
477	0.4001868354
478	0.4001490551
479	0.4000968721
480	0.4000491821
481	0.3999394508
482	0.3998639079
483	0.3997724401
484	0.3997025516
485	0.3996547184
486	0.3995904042
487	0.3995137579
488	0.3994294298
489	0.3993729585
490	0.3993493431
491	0.3993089276
492	0.3992785309
493	0.3992248243
494	0.3991635752
495	0.3990522988
496	0.3989668743
497	0.3988664943
498	0.3988448654
499	0.3987272625
500	0.3986652267
501	0.398633198
502	0.3985522668
503	0.3985358609
504	0.3984828058
505	0.3984019466
506	0.3983234188
507	0.3982193766
508	0.3981812521
509	0.3980597153
510	0.3980203093
511	0.3979647873
512	0.3978757689
513	0.3977393387
514	0.3976866557
515	0.3976662454
516	0.3976152647
517	0.3975505292
518	0.3975195965
519	0.3974787931
520	0.3974638257
521	0.3974155582
522	0.3973582452
523	0.3973097272
524	0.3972719105
525	0.3972367266
526	0.3971727814
527	0.3971254603
528	0.3971077038
529	0.3970099448
530	0.3968869347
531	0.3967583134
532	0.3967163441
533	0.3966888945
534	0.3966445268
535	0.3965854114
536	0.3965234942
537	0.3964400872
538	0.3963883029
539	0.3963110368
540	0.3962394761
541	0.3961795685
542	0.3960733366
543	0.3960155802
544	0.3959417129
545	0.395866958
546	0.3958245972
547	0.3957008831
548	0.3956905777
549	0.3956452863
550	0.3955737551
551	0.3955194307
552	0.3954560574
553	0.395424816
554	0.3953760414
555	0.3953316607
556	0.3952569064
557	0.3952075174
558	0.3951657453
559	0.3951160302
560	0.3950452654
561	0.394972988
562	0.3949066003
563	0.3948148695
564	0.3947684852
565	0.3947200781
566	0.3946805273
567	0.3946083441
568	0.3945260252
569	0.3944891122
570	0.3944175727
571	0.3943600748
572	0.3942969493
573	0.3942696254
574	0.3942144875
575	0.3941819113
576	0.3940871779
577	0.3940579377
578	0.3940330568
579	0.3939711393
580	0.3938978797
581	0.393832428
582	0.393746335
583	0.3937266181
584	0.3936554816
585	0.3936156918
586	0.393556263
587	0.3935033871
588	0.393449268
589	0.3933837383
590	0.3933719572
591	0.3933023696
592	0.3932432119
593	0.3932180074
594	0.3931228503
595	0.3930682567
596	0.3930568078
597	0.3930104729
598	0.3929421551
599	0.3928775936
600	0.3928607805
601	0.3928062336
602	0.392759568
603	0.3927153881
604	0.3926446646
605	0.3925861154
606	0.3925446919
607	0.3924746858
608	0.3924270267
609	0.3923668375
610	0.3923220466
611	0.3922783357
612	0.3922166819
613	0.3921542747
614	0.3921083277
615	0.3920377527
616	0.391936359
617	0.3918881944
618	0.3918566781
619	0.3917916004
620	0.3917552745
621	0.3917363306
622	0.3916630523
623	0.3916139165
624	0.3915636297
625	0.3915424623
626	0.3914928037
627	0.3914220152
628	0.3913631288
629	0.3912971963
630	0.3912479007
631	0.3912207533
632	0.3911547884
633	0.3910892794
634	0.3910435507
635	0.3909682636
636	0.3909223868
637	0.3908922252
638	0.3908250676
639	0.3907650891
640	0.3906867198
641	0.3906480698
642	0.3906088739
643	0.3905556968
644	0.39046772
645	0.3903660409
646	0.3903117608
647	0.390262086
648	0.3901979167
649	0.3901141583
650	0.3900848562
651	0.3900335105
652	0.3899643374
653	0.389940612
654	0.3898745744
655	0.3898415384
656	0.3897949963
657	0.3897269536
658	0.3897051018
659	0.3896449508
660	0.3896139139
661	0.3895354917
662	0.3894876584
663	0.3894469271
664	0.3894109439
665	0.3893288254
666	0.3892499609
667	0.3892144359
668	0.3891496084
669	0.389113107
670	0.3890483632
671	0.3889779986
672	0.3889414773
673	0.3889047357
674	0.3888008414
675	0.3887436851
676	0.3887264474
677	0.3886930518
678	0.3886115824
679	0.3885847445
680	0.3884954357
681	0.3884597347
682	0.3884342133
683	0.3883681796
684	0.3883289247
685	0.3882716264
686	0.3881830844
687	0.3881022718
688	0.3880490803
689	0.3880156975
690	0.3879671584
691	0.3879098403
692	0.3878415607
693	0.3878206146
694	0.3877848064
695	0.3877474442
696	0.3877180898
697	0.387625316
698	0.3875563466
699	0.3875044835
700	0.3874518799
701	0.3874228479
702	0.3873512491
703	0.3873146904
704	0.3872654099
705	0.3872248643
706	0.3871648143
707	0.3870702447
708	0.3870230473
709	0.3869904142
710	0.3869151538
711	0.3868857073
712	0.38682292
713	0.3867459687
714	0.3867037553
715	0.3866750739
716	0.3866301028
717	0.3865529303
718	0.3865058697
719	0.386469409
720	0.3864229428
721	0.386339732
722	0.3862764985
723	0.3862276207
724	0.3861947107
725	0.3861071447
726	0.3860855743
727	0.3860535591
728	0.3860022485
729	0.3859539644
730	0.3859250796
731	0.385863719
732	0.3857726637
733	0.3856921816
734	0.3856474688
735	0.3855955065
736	0.3855545415
737	0.3855423705
738	0.3854710037
739	0.385432158
740	0.3853954181
741	0.3853430359
742	0.3852624344
743	0.3852069472
744	0.3851647933
745	0.3851130387
746	0.3850695645
747	0.3849968326
748	0.3849780468
749	0.3849267049
750	0.3848512893
751	0.3847997361
752	0.3847485065
753	0.384675728
754	0.3846600967
755	0.3846077552
756	0.3845664342
757	0.3845184203
758	0.3844671654
759	0.3844018604
760	0.3843398157
761	0.3841882862
762	0.3841366677
763	0.3840792264
764	0.3840080567
765	0.3839216589
766	0.3838719022
767	0.3837890134
768	0.3837352475
769	0.3836491897
770	0.3835721462
771	0.3835396261
772	0.3835169051
773	0.3834394909
774	0.383379911
775	0.3833394896
776	0.3833217695
777	0.3832814611
778	0.3832445725
779	0.3831864383
780	0.3830830008
781	0.3830323072
782	0.3829637075
783	0.382919713
784	0.3828412691
785	0.3828093389
786	0.3827488423
787	0.3827102404
788	0.382677036
789	0.3826460222
790	0.3826160875
791	0.3825390079
792	0.3825158036
793	0.3824428318
794	0.3824117377
795	0.3822936255
796	0.382244094
797	0.3821834552
798	0.3821524805
799	0.3821138475
800	0.3820547918
801	0.3820099888
802	0.3819628514
803	0.3819191219
804	0.381877672
805	0.3818336127
806	0.3817947695
807	0.3817648162
808	0.3817213263
809	0.3816481806
810	0.3816113324
811	0.3815613503
812	0.3815315321
813	0.3814690739
814	0.381442214
815	0.3814075881
816	0.3813483457
817	0.3813113997
818	0.3812739385
819	0.3812412576
820	0.3812110175
821	0.3811948454
822	0.3811446484
823	0.381087902
824	0.3810591373
825	0.3810183455
826	0.3809725991
827	0.380950675
828	0.3809124565
829	0.3808515352
830	0.3808093671
831	0.380778441
832	0.3806928488
833	0.380666972
834	0.3806345119
835	0.3805908512
836	0.3805224113
837	0.3804419704
838	0.3804013142
839	0.3803726347
840	0.3802819985
841	0.3802666905
842	0.380228885
843	0.380204424
844	0.380153686
845	0.3801016415
846	0.3800422919
847	0.3799691386
848	0.3799352048
849	0.3798969445
850	0.3798414602
851	0.3797838511
852	0.3797254659
853	0.379680656
854	0.3796154245
855	0.3795488396
856	0.3795162645
857	0.379486224
858	0.3794382878
859	0.3794004279
860	0.3792957853
861	0.3792655013
862	0.3792400354
863	0.379197061
864	0.3791558284
865	0.3790979638
866	0.379048952
867	0.378998022
868	0.3789437668
869	0.3789056885
870	0.3788367247
871	0.3787815622
872	0.3787332372
873	0.3786534903
874	0.3786347362
875	0.3786050925
876	0.3785624957
877	0.3785009787
878	0.3784536817
879	0.3783964225
880	0.3783513947
881	0.3783062163
882	0.3782644717
883	0.3781978314
884	0.378161634
885	0.3781388013
886	0.3781039838
887	0.3780338212
888	0.3779360967
889	0.3779150422
890	0.3778618262
891	0.3778200459
892	0.3777503383
893	0.3777308839
894	0.3776650363
895	0.3776598992
896	0.37759982
897	0.3775357797
898	0.3774900994
899	0.3774484656
